experiment,image_name,r2_total,r2_per_task,rmse,chamfer_distance,train_time,train_samples,test_samples
matern15_rank3,000115.JPG,0.597692604238122,[0.98548446 0.97462067 0.96701831 0.2212665  0.20391932 0.23384636],0.14752259573951823,0.2768986586568792,2.0012381076812744,982,246
matern15_rank3,000117.JPG,0.6173606077210441,[0.97277928 0.97927623 0.96541441 0.27195243 0.20848318 0.30625812],0.15477525325180938,0.3338842633199304,1.668030023574829,865,217
matern15_rank3,000079.JPG,0.7141169516713403,[0.93673076 0.92932451 0.91005848 0.43536541 0.45805714 0.61516542],0.14211283820550008,0.28909491256179526,1.5923187732696533,833,209
matern15_rank3,000072.JPG,0.5576564443670285,[0.98928024 0.98291188 0.97395084 0.13444788 0.0984096  0.16693822],0.15234057844839224,0.30905079833490223,1.532628059387207,817,205
matern15_rank4,000115.JPG,0.6134233922352786,[0.98449282 0.97800028 0.97018213 0.32628732 0.24442851 0.17714928],0.142586260802076,0.2690538962352443,2.126338005065918,982,246
matern15_rank4,000117.JPG,0.6312943090205366,[0.98249963 0.98081173 0.97183477 0.25795625 0.23609197 0.35857151],0.15248221153982777,0.3085357202429919,1.7686729431152344,865,217
matern15_rank4,000079.JPG,0.6900860752880139,[0.93361334 0.92693612 0.9187258  0.38111458 0.40565965 0.57446697],0.14815531098394533,0.31279125410403796,1.7266180515289307,833,209
matern15_rank4,000072.JPG,0.588736442608329,[0.99001    0.98293394 0.95883277 0.2220339  0.16783139 0.21077666],0.14663947994899706,0.2846496231653217,1.624330997467041,817,205
matern25_rank2,000115.JPG,0.5454246972351303,[0.98114571 0.97018501 0.95682387 0.14346247 0.10408313 0.11684798],0.15641763561956745,0.32751243974145205,2.130657911300659,982,246
matern25_rank2,000117.JPG,0.5903368254889519,[0.95656869 0.9652201  0.95637297 0.19664899 0.18517539 0.28203481],0.16053553753442576,0.33109642847085247,1.7139689922332764,865,217
matern25_rank2,000079.JPG,0.645262247171927,[0.92337358 0.90578923 0.89701926 0.33377063 0.36793414 0.44368664],0.1579668106507198,0.3504513157271093,1.6365461349487305,833,209
matern25_rank2,000072.JPG,0.5286162987740951,[0.98109576 0.97895961 0.95578042 0.09808867 0.04257052 0.11520281],0.15717454762888353,0.3360590841607096,1.5622389316558838,817,205
matern25_rank3,000115.JPG,0.5560942806668273,[0.98218143 0.97044934 0.96469263 0.17969776 0.12908774 0.11045678],0.15397712569579888,0.3050544605810242,2.1059410572052,982,246
matern25_rank3,000117.JPG,0.5932412278028113,[0.96993643 0.95480533 0.95870641 0.20370685 0.17171758 0.30057475],0.16021418441828206,0.33805630547672255,1.7615180015563965,865,217
matern25_rank3,000079.JPG,0.6692017752424149,[0.91335906 0.91100738 0.90257897 0.34921994 0.3706064  0.56843891],0.15280239680946822,0.32407025015859514,1.6839299201965332,833,209
matern25_rank3,000072.JPG,0.5317966572999294,[0.98005935 0.97719146 0.96085002 0.08526494 0.04542521 0.14198896],0.15697359907798666,0.3382157488035445,1.7473230361938477,817,205
matern25_rank4,000115.JPG,0.5614248235509779,[0.97488989 0.9673917  0.96402636 0.18952717 0.13658314 0.13613068],0.15314783404653612,0.3084238269977151,2.221691846847534,982,246
matern25_rank4,000117.JPG,0.5948259295082092,[0.96973841 0.96789334 0.95895634 0.20631313 0.18360322 0.28245113],0.15962210922388187,0.3200502191131875,1.8235270977020264,865,217
matern25_rank4,000079.JPG,0.6747466902781891,[0.92539318 0.91405524 0.91009629 0.36092292 0.38174066 0.55627185],0.15165626154306752,0.31557656671207457,1.8042497634887695,833,209
matern25_rank4,000072.JPG,0.5290978482520331,[0.97659149 0.97789491 0.95772027 0.10934331 0.04915249 0.10388462],0.15677659110392123,0.32968808532628513,1.6978960037231445,817,205
mixed_matern_rank1,000115.JPG,0.6152947224847418,[0.99014395 0.98751872 0.9784256  0.28745871 0.25803365 0.19018772],0.14276043934850513,0.27273881049894355,1.844059944152832,982,246
mixed_matern_rank1,000117.JPG,0.6522286335697081,[0.99127731 0.98812283 0.97929444 0.23469152 0.27412807 0.44585763],0.14902399889273651,0.30565770305928125,1.5067808628082275,865,217
mixed_matern_rank1,000079.JPG,0.7437220078977792,[0.94167058 0.94713938 0.93806687 0.52330054 0.46396478 0.6481899 ],0.13450779425769052,0.26404984056321745,1.4549028873443604,833,209
mixed_matern_rank1,000072.JPG,0.6200371265770586,[0.97025919 0.98508351 0.97274274 0.2449989  0.29097515 0.25616326],0.14074735699180044,0.27081130898425354,1.3993511199951172,817,205
mixed_matern_rank3,000115.JPG,0.6485910573980608,[0.98897135 0.98747484 0.98002359 0.36598909 0.35057461 0.21851287],0.1356084371138602,0.24963303803070727,1.9962098598480225,982,246
mixed_matern_rank3,000117.JPG,0.6691967740119233,[0.98789337 0.99029781 0.99011797 0.32588899 0.28187862 0.43910388],0.1445833751215594,0.2767694519611971,1.6721186637878418,865,217
mixed_matern_rank3,000079.JPG,0.7536428205087723,[0.9455296  0.94591715 0.93170992 0.54015346 0.50230296 0.65624381],0.1317995192915532,0.25404473180085324,1.6024701595306396,833,209
mixed_matern_rank3,000072.JPG,0.6029350672507089,[0.99298618 0.99042694 0.9701142  0.26096274 0.15904187 0.24407847],0.14399814148896845,0.2785080732920961,1.5575292110443115,817,205
matern25_wendland_rank3,000115.JPG,0.6340886404901801,[0.99457821 0.9892546  0.98148582 0.32465013 0.3003825  0.2141806 ],0.13901388491548555,0.2529257385195172,2.1450071334838867,982,246
matern25_wendland_rank3,000117.JPG,0.6848512461398233,[0.99209161 0.99508169 0.98446716 0.35208891 0.29630845 0.48906965],0.1414394272809651,0.2711730062751406,1.791895866394043,865,217
matern25_wendland_rank3,000079.JPG,0.75769695851712,[0.96417629 0.94893031 0.94316659 0.53265389 0.50298481 0.65426987],0.1312043565920962,0.2458640814152126,1.7123148441314697,833,209
matern25_wendland_rank3,000072.JPG,0.6499269912095434,[0.99523433 0.98381329 0.97554296 0.33687026 0.25544169 0.35265942],0.1355159848904818,0.24277545972246817,1.6380538940429688,817,205
